N,Time
703,3945
704,3955
705,3964
706,3974
707,3984
708,3995
709,4005
710,4015
711,4026
712,4036
713,4045
714,4056
715,4066
716,4076
717,4086
718,4097
719,4107
720,4118
721,4128
722,4138
723,4149
724,4159
725,4170
726,4193
727,4203
728,4214
729,4225
730,4235
731,4245
732,4254
733,4265
734,4275
735,4285
736,4296
737,4306
738,4316
739,4327
740,4338
741,4349
742,4359
743,4370
744,4380
745,4391
746,4403
747,4413
748,4424
749,4435
750,4445
751,4457
752,4467
753,4478
754,4488
755,4498
756,4510
757,4520
758,4531
759,4542
760,4553
761,4563
762,4574
763,4584
764,4595
765,4606
766,4618
767,4629
768,4639
769,4650
770,4661
771,4672
772,4683
773,4694
774,4707
775,4732
776,4743
777,4755
778,4766
779,4777
780,4788
781,4799
782,4810
783,4821
784,4832
785,4843
786,4854
787,4865
788,4877
789,4889
790,4900
791,4912
792,4924
793,4935
794,4946
795,4958
796,4969
797,4981
798,4992
799,5003
800,5015
801,5027
802,5039
803,5050
804,5061
805,5072
806,5083
807,5094
808,5106
809,5118
810,5129
811,5141
812,5152
813,5164
814,5175
815,5187
816,5199
817,5211
818,5223
819,5234
820,5246
821,5257
822,5271
823,5283
824,5295
825,5308
826,5320
827,5331
828,5343
829,5354
830,5366
831,5377
832,5390
833,5402
834,5414
835,5426
836,5438
837,5450
838,5463
839,5475
840,5487
841,5499
842,5512
843,5524
844,5536
845,5549
846,5560
847,5573
848,5585
849,5599
850,5611
851,5624
852,5635
853,5648
854,5661
855,5674
856,5686
857,5699
858,5711
859,5723
860,5735
861,5749
862,5760
863,5773
864,5785
865,5811
866,5824
867,5836
868,5849
869,5861
870,5874
871,5887
872,5899
873,5912
874,5924
875,5938
876,5952
877,5964
878,5976
879,5989
880,6003
881,6015
882,6028
883,6041
884,6053
885,6066
886,6079
887,6093
888,6105
889,6118
890,6130
891,6143
892,6157
893,6170
894,6183
895,6195
896,6209
897,6223
898,6236
899,6248
900,6262
901,6275
902,6288
903,6301
904,6314
905,6327
906,6341
907,6359
908,6372
909,6386
910,6399
911,6413
912,6427
913,6440
914,6453
915,6466
916,6480
917,6492
918,6506
919,6519
920,6534
921,6546
922,6560
923,6574
924,6587
925,6600
926,6614
927,6627
928,6641
929,6655
930,6669
931,6683
932,6698
933,6711
934,6724
935,6737
936,6750
937,6764
938,6778
939,6792
940,6805
941,6819
942,6832
943,6846
944,6859
945,6873
946,6887
947,6904
948,6916
949,6930
950,6944
951,6958
952,6971
953,6984
954,6999
955,7014
956,7027
957,7042
958,7055
959,7070
960,7085
961,7099
962,7114
963,7127
964,7140
965,7156
966,7169
967,7183
968,7198
969,7213
970,7227
971,7241
972,7254
973,7267
974,7283
975,7297
976,7311
977,7325
978,7339
979,7353
980,7368
981,7383
982,7397
983,7411
984,7426
985,7442
986,7456
987,7470
988,7489
989,7508
990,7543
991,7561
992,7578
993,7593
994,7607
995,7621
996,7635
997,7650
998,7664
999,7679
1000,7693
1001,7708
1002,7723
1003,7737
1004,7752
1005,7766
1006,7781
1007,7803
1008,7818
1009,7831
1010,7845
1011,7859
1012,7874
1013,7888
1014,7904
1015,7919
1016,7933
1017,7949
1018,7963
1019,7978
1020,7993
1021,8008
1022,8023
1023,8039
1024,8055
1025,8069
1026,8084
1027,8099
1028,8114
1029,8129
1030,8144
1031,8159
1032,8174
1033,8188
1034,8203
1035,8218
1036,8233
1037,8247
1038,8264
1039,8279
1040,8294
1041,8309
1042,8326
1043,8342
1044,8357
1045,8372
1046,8387
1047,8403
1048,8417
1049,8433
1050,8448
1051,8465
1052,8480
1053,8495
1054,8510
1055,8526
1056,8541
1057,8556
1058,8572
1059,8587
1060,8603
1061,8618
1062,8633
1063,8648
1064,8664
1065,8680
1066,8696
1067,8711
1068,8727
1069,8743
1070,8758
1071,8774
1072,8789
1073,8804
1074,8819
1075,8835
1076,8851
1077,8870
1078,8885
1079,8903
1080,8919
1081,8936
1082,8952
1083,8967
1084,8981
1085,8997
1086,9013
1087,9028
1088,9043
1089,9059
1090,9074
1091,9091
1092,9108
1093,9124
1094,9140
1095,9157
